"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"01100","北海道","札幌市","さっぽろし","","","1973-12-01","有"
"02201","青森県","","","青森市","あおもりし","2007-09-01","有"
"03201","岩手県","","","盛岡市","もりおかし","2008-04-01","有"
"04100","宮城県","仙台市","せんだいし","","","2019-04-01","有"
"05201","秋田県","","","秋田市","あきたし","2005-01-11","有"
"06201","山形県","","","山形市","やまがたし","2019-04-01","有"
"07201","福島県","","","福島市","ふくしまし","2018-04-01","有"
"08201","茨城県","","","水戸市","みとし","2020-04-01","有"
"09201","栃木県","","","宇都宮市","うつのみやし","2023-07-01","有"
"10201","群馬県","","","前橋市","まえばしし","2009-05-05","有"
"11100","埼玉県","さいたま市","さいたまし","","","2005-04-01","有"
"12100","千葉県","千葉市","ちばし","","","2006-12-01","有"
"13100","東京都","","","特別区部","とくべつくぶ","",""
"14100","神奈川県","横浜市","よこはまし","","","1988-06-01","有"
"15100","新潟県","新潟市","にいがたし","","","2023-03-11","有"
"16201","富山県","","","富山市","とやまし","2005-04-01","有"
"17201","石川県","","","金沢市","かなざわし","1999-05-01","有"
"18201","福井県","","","福井市","ふくいし","2019-04-01","有"
"19201","山梨県","","","甲府市","こうふし","2019-04-01","有"
"20201","長野県","","","長野市","ながのし","2010-01-01","有"
"21201","岐阜県","","","岐阜市","ぎふし","2006-01-01","有"
"22100","静岡県","静岡市","しずおかし","","","2005-04-01","有"
"23100","愛知県","名古屋市","なごやし","","","2003-07-29","有"
"24201","三重県","","","津市","つし","2006-01-01","有"
"25201","滋賀県","","","大津市","おおつし","2009-04-01","有"
"26100","京都府","京都市","きょうとし","","","2004-12-20","有"
"27100","大阪府","大阪市","おおさかし","","","1986-05-01","有"
"28100","兵庫県","神戸市","こうべし","","","1992-06-01","有"
"29201","奈良県","","","奈良市","ならし","2005-04-01","有"
"30201","和歌山県","","","和歌山市","わかやまし","1997-04-01","有"
"31201","鳥取県","","","鳥取市","とっとりし","2018-04-01","有"
"32201","島根県","","","松江市","まつえし","2018-04-01","有"
"33100","岡山県","岡山市","おかやまし","","","2009-04-01","有"
"34100","広島県","広島市","ひろしまし","","","1994-10-24","有"
"35203","山口県","","","山口市","やまぐちし","2010-01-16","有"
"36201","徳島県","","","徳島市","とくしまし","1983-02-28","有"
"37201","香川県","","","高松市","たかまつし","2006-01-10","有"
"38201","愛媛県","","","松山市","まつやまし","2005-01-01","有"
"39201","高知県","","","高知市","こうちし","2008-01-01","有"
"40130","福岡県","福岡市","ふくおかし","","","1998-01-01","有"
"41201","佐賀県","","","佐賀市","さがし","2014-04-01","有"
"42201","長崎県","","","長崎市","ながさきし","2006-01-04","有"
"43100","熊本県","熊本市","くまもとし","","","2014-09-01","有"
"44201","大分県","","","大分市","おおいたし","2005-01-01","有"
"45201","宮崎県","","","宮崎市","みやざきし","2010-03-23","有"
"46201","鹿児島県","","","鹿児島市","かごしまし","2004-11-01","有"
"47201","沖縄県","","","那覇市","なはし","2017-03-09","有"
