都道府県,級地,1人,2人,3~5人,6人,7人以上
北海道,1級地,29000,35000,37000,41000,45000
北海道,2級地,30000,36000,39000,42000,47000
北海道,3級地,25000,30000,33000,35000,39000
青森県,3級地,30000,36000,39000,42000,47000
岩手県,3級地,31000,37000,40000,43000,48000
宮城県,2級地,35000,42000,45100,49000,55000
宮城県,3級地,35000,42000,46000,49000,55000
秋田県,3級地,35000,42000,46000,49000,55000
山形県,2級地,35000,42000,46000,49000,55000
山形県,3級地,35000,42000,46000,49000,55000
福島県,2級地,36000,43000,47000,50000,56000
福島県,3級地,33000,40000,43000,46000,51000
茨城県,2級地,35400,42000,46000,50000,55000
茨城県,3級地,34000,41000,44000,48000,53000
栃木県,2級地,32000,38000,41000,45000,49000
栃木県,3級地,32200,39000,41800,45000,50200
群馬県,2級地,30000,36000,39000,42000,47000
群馬県,3級地,30700,37000,39900,43000,47900
埼玉県,1級地,47700,57000,62000,67000,74400
埼玉県,2級地,43000,52000,56000,60000,67000
埼玉県,3級地,37000,44000,48000,52000,58000
千葉県,1級地,46000,55000,59800,64000,71800
千葉県,2級地,41000,49000,53000,57000,64000
千葉県,3級地,37200,45000,48400,52000,58100
東京都,1級地,53700,64000,69800,75000,83800
東京都,2級地,45000,54000,59000,63000,70000
東京都,3級地,40900,49000,53200,57000,63800
神奈川県,1級地,41000,49000,53000,57000,64000
神奈川県,2級地,41000,49000,53000,57000,64000
神奈川県,3級地,41000,49000,53000,57000,64000
新潟県,2級地,31800,38000,41000,45000,49700
新潟県,3級地,32000,38000,42000,45000,50000
富山県,2級地,29000,35000,38000,41000,46000
富山県,3級地,22000,26000,29000,31000,34000
石川県,2級地,31000,37000,40000,43000,48000
石川県,3級地,31000,37000,40100,43000,48100
福井県,2級地,32000,38000,41000,45000,49000
福井県,3級地,30000,36000,39000,42000,47000
山梨県,2級地,29000,35000,38000,41000,45000
山梨県,3級地,30000,36000,39000,42000,47000
長野県,2級地,35000,42000,46000,49000,55000
長野県,3級地,31800,38000,41300,45000,49600
岐阜県,2級地,32200,39000,41800,45000,50200
岐阜県,3級地,29000,35000,37700,41000,45200
静岡県,2級地,37000,44000,48000,52000,58000
静岡県,3級地,37200,45000,48300,52000,58000
愛知県,2級地,37000,44000,48100,52000,58000
愛知県,3級地,36000,43000,46600,50000,56000
三重県,2級地,35200,42000,45800,49000,55000
三重県,3級地,33400,40000,43400,47000,52100
滋賀県,2級地,41000,49000,53000,57000,63000
滋賀県,3級地,35000,42000,46000,49000,55000
京都府,1級地,40000,48000,52000,56000,62000
京都府,2級地,37000,44000,48000,52000,58000
京都府,3級地,36000,43000,47000,50000,56000
大阪府,1級地,39000,47000,51000,55000,61000
大阪府,2級地,38000,46000,49000,53000,59000
大阪府,3級地,29000,35000,38000,41000,45000
兵庫県,1級地,40000,48000,52000,56000,62000
兵庫県,2級地,39000,47000,51000,55000,61000
兵庫県,3級地,32300,39000,42000,45000,50400
奈良県,2級地,36000,43000,47000,50000,56000
奈良県,3級地,33000,40000,43000,46000,51000
和歌山県,3級地,32000,38000,42000,45000,50000
鳥取県,2級地,32000,38000,42000,45000,50000
鳥取県,3級地,34000,41000,44000,48000,53000
島根県,2級地,34000,41000,44000,48000,53000
島根県,3級地,28200,34000,37000,39000,44000
岡山県,2級地,34800,42000,45000,49000,54000
岡山県,3級地,31000,37000,40000,43000,48000
広島県,1級地,35000,42000,46000,49000,55000
広島県,2級地,35000,42000,46000,49000,55000
広島県,3級地,33000,40000,43000,46000,52000
山口県,2級地,31000,37000,40000,43000,48000
山口県,3級地,30000,36000,39000,42000,47000
徳島県,2級地,29000,35000,38000,41000,45000
徳島県,3級地,29000,35000,38000,41000,45000
香川県,3級地,32000,38000,42000,45000,50000
愛媛県,3級地,32000,38000,42000,45000,50000
高知県,3級地,29000,35000,38000,41000,45000
福岡県,2級地,32000,38000,41100,45000,49300
福岡県,3級地,32000,38000,42000,45000,50000
佐賀県,2級地,30300,36000,39400,42000,47300
佐賀県,3級地,29000,35000,38000,41000,45000
長崎県,2級地,32000,38000,42000,45000,50000
長崎県,3級地,32000,38000,42000,45000,50000
熊本県,2級地,35000,42000,46000,49000,55000
熊本県,3級地,33000,40000,43000,46000,51000
大分県,2級地,28000,34000,36000,39000,44000
大分県,3級地,26600,32000,34600,37000,42000
宮崎県,3級地,29000,35000,38000,41000,45000
鹿児島県,3級地,24200,29000,31500,34000,38000
沖縄県,3級地,32000,38000,41000,45000,49000
