"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"01100","北海道","札幌市","さっぽろし","","","1973-12-01","有"
"01101","北海道","札幌市","さっぽろし","中央区","ちゅうおうく","1972-04-01","有"
"01102","北海道","札幌市","さっぽろし","北区","きたく","1972-04-01","有"
"01103","北海道","札幌市","さっぽろし","東区","ひがしく","1972-04-01","有"
"01104","北海道","札幌市","さっぽろし","白石区","しろいしく","1989-11-06","有"
"01105","北海道","札幌市","さっぽろし","豊平区","とよひらく","1997-11-04","有"
"01106","北海道","札幌市","さっぽろし","南区","みなみく","1972-04-01","有"
"01107","北海道","札幌市","さっぽろし","西区","にしく","1989-11-06","有"
"01108","北海道","札幌市","さっぽろし","厚別区","あつべつく","1989-11-06","有"
"01109","北海道","札幌市","さっぽろし","手稲区","ていねく","1989-11-06","有"
"01110","北海道","札幌市","さっぽろし","清田区","きよたく","1997-11-04","有"
"01202","北海道","","","函館市","はこだてし","2005-10-01","有"
"01203","北海道","","","小樽市","おたるし","1990-06-01","有"
"01204","北海道","","","旭川市","あさひかわし","2000-04-01","有"
"01205","北海道","","","室蘭市","むろらんし","1980-06-01","有"
"01206","北海道","","","釧路市","くしろし","2005-10-11","有"
"01207","北海道","","","帯広市","おびひろし","",""
"01208","北海道","","","北見市","きたみし","2006-03-05","有"
"01209","北海道","","","夕張市","ゆうばりし","",""
"01210","北海道","","","岩見沢市","いわみざわし","2006-03-27","有"
"01211","北海道","","","網走市","あばしりし","",""
"01212","北海道","","","留萌市","るもいし","",""
"01213","北海道","","","苫小牧市","とまこまいし","",""
"01214","北海道","","","稚内市","わっかないし","",""
"01215","北海道","","","美唄市","びばいし","",""
"01216","北海道","","","芦別市","あしべつし","",""
"01217","北海道","","","江別市","えべつし","",""
"01218","北海道","","","赤平市","あかびらし","",""
"01219","北海道","","","紋別市","もんべつし","",""
"01220","北海道","","","士別市","しべつし","2005-09-01","有"
"01221","北海道","","","名寄市","なよろし","2006-03-27","有"
"01222","北海道","","","三笠市","みかさし","",""
"01223","北海道","","","根室市","ねむろし","",""
"01224","北海道","","","千歳市","ちとせし","1985-02-15","有"
"01225","北海道","","","滝川市","たきかわし","1975-04-01","有"
"01226","北海道","","","砂川市","すながわし","1988-09-01","有"
"01227","北海道","","","歌志内市","うたしないし","",""
"01228","北海道","","","深川市","ふかがわし","",""
"01229","北海道","","","富良野市","ふらのし","",""
"01230","北海道","","","登別市","のぼりべつし","1980-06-01","有"
"01231","北海道","","","恵庭市","えにわし","1986-03-01","有"
"01233","北海道","","","伊達市","だてし","2006-03-01","有"
"01234","北海道","","","北広島市","きたひろしまし","1996-09-01","有"
"01235","北海道","","","石狩市","いしかりし","2005-10-01","有"
"01236","北海道","","","北斗市","ほくとし","2021-03-10","有"
"01303","北海道","石狩振興局","いしかりしんこうきょく","当別町","とうべつちょう","1996-06-14","有"
"01304","北海道","石狩振興局","いしかりしんこうきょく","新篠津村","しんしのつむら","",""
"01331","北海道","渡島総合振興局","おしまそうごうしんこうきょく","松前町","まつまえちょう","",""
"01332","北海道","渡島総合振興局","おしまそうごうしんこうきょく","福島町","ふくしまちょう","",""
"01333","北海道","渡島総合振興局","おしまそうごうしんこうきょく","知内町","しりうちちょう","",""
"01334","北海道","渡島総合振興局","おしまそうごうしんこうきょく","木古内町","きこないちょう","",""
"01337","北海道","渡島総合振興局","おしまそうごうしんこうきょく","七飯町","ななえちょう","2021-03-10","有"
"01343","北海道","渡島総合振興局","おしまそうごうしんこうきょく","鹿部町","しかべちょう","1983-12-01","有"
"01345","北海道","渡島総合振興局","おしまそうごうしんこうきょく","森町","もりまち","2005-04-01","有"
"01346","北海道","渡島総合振興局","おしまそうごうしんこうきょく","八雲町","やくもちょう","2005-10-01","有"
"01347","北海道","渡島総合振興局","おしまそうごうしんこうきょく","長万部町","おしゃまんべちょう","",""
"01361","北海道","檜山振興局","ひやましんこうきょく","江差町","えさしちょう","",""
"01362","北海道","檜山振興局","ひやましんこうきょく","上ノ国町","かみのくにちょう","",""
"01363","北海道","檜山振興局","ひやましんこうきょく","厚沢部町","あっさぶちょう","",""
"01364","北海道","檜山振興局","ひやましんこうきょく","乙部町","おとべちょう","",""
"01367","北海道","檜山振興局","ひやましんこうきょく","奥尻町","おくしりちょう","",""
"01370","北海道","檜山振興局","ひやましんこうきょく","今金町","いまかねちょう","",""
"01371","北海道","檜山振興局","ひやましんこうきょく","せたな町","せたなちょう","2005-09-01","有"
"01391","北海道","後志総合振興局","しりべしそうごうしんこうきょく","島牧村","しままきむら","",""
"01392","北海道","後志総合振興局","しりべしそうごうしんこうきょく","寿都町","すっつちょう","",""
"01393","北海道","後志総合振興局","しりべしそうごうしんこうきょく","黒松内町","くろまつないちょう","",""
"01394","北海道","後志総合振興局","しりべしそうごうしんこうきょく","蘭越町","らんこしちょう","",""
"01395","北海道","後志総合振興局","しりべしそうごうしんこうきょく","ニセコ町","にせこちょう","",""
"01396","北海道","後志総合振興局","しりべしそうごうしんこうきょく","真狩村","まっかりむら","",""
"01397","北海道","後志総合振興局","しりべしそうごうしんこうきょく","留寿都村","るすつむら","",""
"01398","北海道","後志総合振興局","しりべしそうごうしんこうきょく","喜茂別町","きもべつちょう","",""
"01399","北海道","後志総合振興局","しりべしそうごうしんこうきょく","京極町","きょうごくちょう","",""
"01400","北海道","後志総合振興局","しりべしそうごうしんこうきょく","倶知安町","くっちゃんちょう","",""
"01401","北海道","後志総合振興局","しりべしそうごうしんこうきょく","共和町","きょうわちょう","1990-12-01","有"
"01402","北海道","後志総合振興局","しりべしそうごうしんこうきょく","岩内町","いわないちょう","1990-12-01","有"
"01403","北海道","後志総合振興局","しりべしそうごうしんこうきょく","泊村","とまりむら","",""
"01404","北海道","後志総合振興局","しりべしそうごうしんこうきょく","神恵内村","かもえないむら","",""
"01405","北海道","後志総合振興局","しりべしそうごうしんこうきょく","積丹町","しゃこたんちょう","",""
"01406","北海道","後志総合振興局","しりべしそうごうしんこうきょく","古平町","ふるびらちょう","",""
"01407","北海道","後志総合振興局","しりべしそうごうしんこうきょく","仁木町","にきちょう","",""
"01408","北海道","後志総合振興局","しりべしそうごうしんこうきょく","余市町","よいちちょう","",""
"01409","北海道","後志総合振興局","しりべしそうごうしんこうきょく","赤井川村","あかいがわむら","",""
"01423","北海道","空知総合振興局","そらちそうごうしんこうきょく","南幌町","なんぽろちょう","1982-09-01","有"
"01424","北海道","空知総合振興局","そらちそうごうしんこうきょく","奈井江町","ないえちょう","",""
"01425","北海道","空知総合振興局","そらちそうごうしんこうきょく","上砂川町","かみすながわちょう","",""
"01427","北海道","空知総合振興局","そらちそうごうしんこうきょく","由仁町","ゆにちょう","",""
"01428","北海道","空知総合振興局","そらちそうごうしんこうきょく","長沼町","ながぬまちょう","1986-03-01","有"
"01429","北海道","空知総合振興局","そらちそうごうしんこうきょく","栗山町","くりやまちょう","",""
"01430","北海道","空知総合振興局","そらちそうごうしんこうきょく","月形町","つきがたちょう","1983-03-01","有"
"01431","北海道","空知総合振興局","そらちそうごうしんこうきょく","浦臼町","うらうすちょう","1983-03-01","有"
"01432","北海道","空知総合振興局","そらちそうごうしんこうきょく","新十津川町","しんとつかわちょう","1988-09-01","有"
"01433","北海道","空知総合振興局","そらちそうごうしんこうきょく","妹背牛町","もせうしちょう","1978-10-01","有"
"01434","北海道","空知総合振興局","そらちそうごうしんこうきょく","秩父別町","ちっぷべつちょう","1972-09-01","有"
"01436","北海道","空知総合振興局","そらちそうごうしんこうきょく","雨竜町","うりゅうちょう","1978-10-01","有"
"01437","北海道","空知総合振興局","そらちそうごうしんこうきょく","北竜町","ほくりゅうちょう","1978-10-01","有"
"01438","北海道","空知総合振興局","そらちそうごうしんこうきょく","沼田町","ぬまたちょう","1972-09-01","有"
"01452","北海道","上川総合振興局","かみかわそうごうしんこうきょく","鷹栖町","たかすちょう","",""
"01453","北海道","上川総合振興局","かみかわそうごうしんこうきょく","東神楽町","ひがしかぐらちょう","",""
"01454","北海道","上川総合振興局","かみかわそうごうしんこうきょく","当麻町","とうまちょう","",""
"01455","北海道","上川総合振興局","かみかわそうごうしんこうきょく","比布町","ぴっぷちょう","",""
"01456","北海道","上川総合振興局","かみかわそうごうしんこうきょく","愛別町","あいべつちょう","",""
"01457","北海道","上川総合振興局","かみかわそうごうしんこうきょく","上川町","かみかわちょう","",""
"01458","北海道","上川総合振興局","かみかわそうごうしんこうきょく","東川町","ひがしかわちょう","",""
"01459","北海道","上川総合振興局","かみかわそうごうしんこうきょく","美瑛町","びえいちょう","",""
"01460","北海道","上川総合振興局","かみかわそうごうしんこうきょく","上富良野町","かみふらのちょう","",""
"01461","北海道","上川総合振興局","かみかわそうごうしんこうきょく","中富良野町","なかふらのちょう","",""
"01462","北海道","上川総合振興局","かみかわそうごうしんこうきょく","南富良野町","みなみふらのちょう","",""
"01463","北海道","上川総合振興局","かみかわそうごうしんこうきょく","占冠村","しむかっぷむら","",""
"01464","北海道","上川総合振興局","かみかわそうごうしんこうきょく","和寒町","わっさむちょう","",""
"01465","北海道","上川総合振興局","かみかわそうごうしんこうきょく","剣淵町","けんぶちちょう","1978-01-01","有"
"01468","北海道","上川総合振興局","かみかわそうごうしんこうきょく","下川町","しもかわちょう","",""
"01469","北海道","上川総合振興局","かみかわそうごうしんこうきょく","美深町","びふかちょう","",""
"01470","北海道","上川総合振興局","かみかわそうごうしんこうきょく","音威子府村","おといねっぷむら","",""
"01471","北海道","上川総合振興局","かみかわそうごうしんこうきょく","中川町","なかがわちょう","",""
"01472","北海道","上川総合振興局","かみかわそうごうしんこうきょく","幌加内町","ほろかないちょう","2010-04-01","有"
"01481","北海道","留萌振興局","るもいしんこうきょく","増毛町","ましけちょう","",""
"01482","北海道","留萌振興局","るもいしんこうきょく","小平町","おびらちょう","",""
"01483","北海道","留萌振興局","るもいしんこうきょく","苫前町","とままえちょう","",""
"01484","北海道","留萌振興局","るもいしんこうきょく","羽幌町","はぼろちょう","",""
"01485","北海道","留萌振興局","るもいしんこうきょく","初山別村","しょさんべつむら","",""
"01486","北海道","留萌振興局","るもいしんこうきょく","遠別町","えんべつちょう","",""
"01487","北海道","留萌振興局","るもいしんこうきょく","天塩町","てしおちょう","",""
"01511","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","猿払村","さるふつむら","",""
"01512","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","浜頓別町","はまとんべつちょう","",""
"01513","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","中頓別町","なかとんべつちょう","",""
"01514","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","枝幸町","えさしちょう","2006-03-20","有"
"01516","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","豊富町","とよとみちょう","",""
"01517","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","礼文町","れぶんちょう","",""
"01518","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","利尻町","りしりちょう","",""
"01519","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","利尻富士町","りしりふじちょう","1990-09-30","有"
"01520","北海道","宗谷総合振興局","そうやそうごうしんこうきょく","幌延町","ほろのべちょう","2010-04-01","有"
"01543","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","美幌町","びほろちょう","1989-06-01","有"
"01544","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","津別町","つべつちょう","",""
"01545","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","斜里町","しゃりちょう","",""
"01546","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","清里町","きよさとちょう","",""
"01547","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","小清水町","こしみずちょう","",""
"01549","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","訓子府町","くんねっぷちょう","",""
"01550","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","置戸町","おけとちょう","",""
"01552","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","佐呂間町","さろまちょう","",""
"01555","北海道","オホーツク総合振興局","おほーつくそうごうしんこうきょく","遠軽町","えんがるちょう","2005-10-01","有"
